,Player Name,Salary
155.,Monte Morris,"$8,449,074"
156.,Tyus Jones,"$8,376,286"
157.,Trae Young,"$8,326,471"
158.,Daniel Theis,"$8,280,351"
159.,LaMelo Ball,"$8,231,760"
160.,Seth Curry,"$8,207,518"
161.,JaMychal Green,"$8,200,000"
162.,Cedi Osman,"$8,133,334"
163.,Evan Mobley,"$8,075,160"
164.,De'Andre Hunter,"$7,775,400"
165.,Mo Bamba,"$7,568,743"
166.,Ivica Zubac,"$7,518,518"
167.,TJ McConnell,"$7,500,000"
167.,Rajon Rondo,"$7,500,000"
169.,Patrick Williams,"$7,422,000"
170.,Cory Joseph,"$7,310,000"
171.,Scottie Barnes,"$7,280,400"
172.,Darius Garland,"$7,040,880"
173.,Chris Boucher,"$7,020,000"
174.,PJ Tucker,"$7,000,000"
174.,Zach Collins,"$7,000,000"
174.,DJ Augustin,"$7,000,000"
177.,Wendell Carter,"$6,920,027"
178.,Juan Hernangomez,"$6,907,815"
179.,Isaac Okoro,"$6,720,720"
180.,Jalen Suggs,"$6,592,920"
181.,Cameron Payne,"$6,500,000"
182.,Joakim Noah,"$6,431,666"
183.,Jarrett Culver,"$6,395,160"
184.,Khem Birch,"$6,350,000"
185.,Collin Sexton,"$6,349,671"
186.,Onyeka Okongwu,"$6,104,280"
187.,Justin Holiday,"$6,006,420"
188.,Josh Giddey,"$5,988,000"
189.,Patrick Mills,"$5,890,000"
189.,Rudy Gay,"$5,890,000"
189.,Dennis Schroeder,"$5,890,000"
192.,Kevin Knox,"$5,845,978"
193.,Coby White,"$5,837,760"
194.,Timofey Mozgov,"$5,573,333"
195.,Killian Hayes,"$5,572,680"
196.,Mikal Bridges,"$5,557,725"
197.,Shai Gilgeous-Alexander,"$5,495,532"
198.,Jonathan Kuminga,"$5,466,360"
199.,Miles Bridges,"$5,421,493"
200.,Jaxson Hayes,"$5,348,280"
201.,Pat Connaughton,"$5,333,334"
202.,George Hill,"$5,275,491"
203.,Michael Porter,"$5,258,735"
204.,Dewayne Dedmon,"$5,256,308"
205.,Ryan Anderson,"$5,214,583"
206.,Hamidou Diallo,"$5,200,000"
207.,Kevon Looney,"$5,178,572"
208.,Troy Brown,"$5,170,564"
209.,Obi Toppin,"$5,105,160"
210.,Franz Wagner,"$5,007,840"
211.,Kris Dunn,"$5,005,350"
211.,Josh Jackson,"$5,005,350"
213.,Kendrick Nunn,"$5,000,000"
213.,Louis Williams,"$5,000,000"
213.,Luol Deng,"$5,000,000"
213.,Robin Lopez,"$5,000,000"
213.,JaVale McGee,"$5,000,000"
218.,Danuel House,"$4,997,424"
219.,Rui Hachimura,"$4,916,160"
220.,Garrett Temple,"$4,910,000"
220.,Taj Gibson,"$4,910,000"
222.,Torrey Craig,"$4,878,049"
223.,Bruce Brown,"$4,736,102"
224.,Deni Avdija,"$4,692,840"
225.,Donte DiVincenzo,"$4,675,830"
226.,Cam Reddish,"$4,670,160"
227.,David Nwaba,"$4,650,000"
228.,Furkan Korkmaz,"$4,629,630"
229.,Davion Mitchell,"$4,603,200"
230.,Ishmael Smith,"$4,500,000"
230.,Jeff Green,"$4,500,000"
230.,Bryn Forbes,"$4,500,000"
233.,Jalen Smith,"$4,458,000"
234.,Lonnie Walker,"$4,453,617"
235.,Cameron Johnson,"$4,437,000"
236.,Ziaire Williams,"$4,373,040"
237.,Bobby Portis,"$4,347,600"
237.,Moe Harkless,"$4,347,600"
239.,Kevin Huerter,"$4,253,357"
240.,Devin Vassell,"$4,235,160"
241.,Chandler Hutchison,"$4,224,186"
242.,PJ Washington,"$4,215,120"
243.,James Bouknight,"$4,154,400"
244.,Willie Cauley-Stein,"$4,100,000"
245.,Josh Okogie,"$4,087,904"
246.,Grayson Allen,"$4,054,695"
247.,Jarred Vanderbilt,"$4,050,000"
248.,Tyrese Haliburton,"$4,023,600"
249.,Tyler Herro,"$4,004,280"
250.,Terence Davis,"$4,000,000"
250.,Gorgui Dieng,"$4,000,000"
250.,Dorian Finney-Smith,"$4,000,000"
253.,Aaron Holiday,"$3,980,551"
254.,Josh Primo,"$3,946,800"
255.,Jake Layman,"$3,940,184"
256.,Anfernee Simons,"$3,938,818"
257.,Sekou Doumbouya,"$3,908,141"
258.,Justise Winslow,"$3,902,439"
259.,Kira Lewis,"$3,822,240"
260.,Romeo Langford,"$3,804,360"
261.,Landry Shamet,"$3,768,342"
262.,Chris Duarte,"$3,749,400"
263.,Alex Len,"$3,732,000"
264.,Robert Williams,"$3,661,976"
265.,Jevon Carter,"$3,650,000"
266.,Aaron Nesmith,"$3,631,200"
267.,Moses Moody,"$3,562,200"
